	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79
dusk	0.007958534173667431	0.0	0.0	0.0	0.0	0.00039066476165317	0.0	0.0010499858763068914	0.0	0.0017958447569981217	0.0	0.0	0.0	0.0	0.0015872244257479906	0.004745650105178356	0.0	0.0	0.0	0.0	0.0018390030600130558	0.0	0.0	0.001766841160133481	0.0	0.0006187121034599841	0.0	0.0	0.0	0.0015043080784380436	0.0	0.0	0.0015401579439640045	0.0008837977657094598	0.0005254306015558541	0.0	0.0007360765594057739	0.0	0.0	0.0	0.0009377044625580311	0.0	0.0	0.0011529987677931786	0.0012164824875071645	0.0	0.0	0.0	0.0	0.00039165804628282785	0.0	0.0	0.00042810948798432946	0.0	0.0	0.0	0.0017251686658710241	0.0008624251349829137	0.0	0.0	0.0008107618195936084	0.0	0.0	0.0	0.00220847106538713	0.0021993150003254414	0.0	0.0	0.001963241258636117	0.0	0.0	0.0027754432521760464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000536630570422858
office	0.0066123465076088905	0.001662666560150683	0.0006773547502234578	0.0128580741584301	0.0006139330216683447	0.0	0.0	0.0	0.0	0.0	0.007844875566661358	0.0	0.0007924926467239857	0.0022308658808469772	0.0	0.0	0.0	0.005161178298294544	0.006294365040957928	0.003657740307971835	0.0	0.0004714312090072781	0.0009094483102671802	0.0	0.0	0.0	0.0033450413029640913	0.0	0.0018896901747211814	0.0	0.034949373453855515	0.0	0.006009851582348347	0.0011180932633578777	0.0	0.0	0.0	0.0	0.0	0.0	0.004566994030028582	0.0014540705597028136	0.0	0.0	0.0016856392612680793	0.0033020940609276295	0.0006172716966830194	0.0	0.0	0.002113725757226348	0.0006348148453980684	0.0	0.0	0.0015997724840417504	0.0	0.0	0.0	0.0	0.0	0.0	0.005029713269323111	0.0	0.0012412449577823281	0.0	0.004145769402384758	0.0032351245172321796	0.0009805499576032162	0.0010486054234206676	0.0	0.0016694932710379362	0.0016578768845647573	0.0020720178727060556	0.0	0.001969527453184128	0.0	0.003963873255997896	0.0	0.0	0.0	0.0
control	0.006191609427332878	0.0006592511781491339	0.0	0.0	0.0006931304815225303	0.0	0.0006109466194175184	0.0024257858749479055	0.0	0.0	0.0008699175668880343	0.0015555566642433405	0.015173587948083878	0.00047885908861644566	0.0004529290017671883	0.0	0.0	0.0009446072508580983	0.0006147180101834238	0.0	0.0	0.001122004701755941	0.0	0.000945245788898319	0.0024467220064252615	0.0006911362870596349	0.0	0.0	0.0	0.0005723617505282164	0.0	0.0	0.0	0.0	0.01181160006672144	0.0006692517781630158	0.0004141507961321622	0.0010708990739658475	0.0	0.0	0.0005618128343485296	0.0	0.0	0.0006411937065422535	0.0016576368361711502	0.0	0.0	0.0	0.0003332456399220973	0.0	0.0006289257435128093	0.0	0.00043568876571953297	0.0007833291310817003	0.0011852359166368842	0.0	0.001238322933204472	0.0	0.00038105709245428443	0.0022085881792008877	0.0008009752491489053	0.0	0.0	0.0004070670111104846	0.0	0.0004417514428496361	0.000813320919405669	0.0009050560183823109	0.0009974598651751876	0.00684828357771039	0.0003536676231306046	0.0	0.002663690596818924	0.0	0.0009550123941153288	0.0	0.0	0.0	0.0	0.0006747801089659333
track	0.005731821525841951	0.001234539202414453	0.0	0.0	0.0	0.0009296500356867909	0.0	0.0	0.0	0.002199029317125678	0.000863303488586098	0.0	0.0	0.0	0.0015433428343385458	0.0	0.0	0.0010423114290460944	0.0	0.0	0.0007204309804365039	0.0008809209684841335	0.0009103615884669125	0.0010703083826228976	0.0	0.0	0.0	0.00046666499110870063	0.0009250567527487874	0.0018443192820996046	0.0	0.0	0.0008283944334834814	0.001153177465312183	0.0	0.0011028597364202142	0.0	0.003972685895860195	0.0	0.0	0.0	0.000653108989354223	0.0007111311424523592	0.0	0.0	0.0008437060751020908	0.0	0.0	0.019835609942674637	0.0	0.0005838062497787178	0.0	0.0	0.0006436596740968525	0.0005476353107951581	0.0	0.003576607210561633	0.001443373621441424	0.0	0.0	0.0	0.0004330157535150647	0.0	0.0	0.0	0.0	0.001224197680130601	0.000585331697948277	0.0013789404183626175	0.0007224418222904205	0.000456401874544099	0.0004899158957414329	0.0014161368599161506	0.003930439706891775	0.0	0.0	0.0	0.0	0.0	0.0
turret	0.005540078040212393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008714051800779998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006481671007350087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001107567921280861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
quill	0.00514769833534956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nose	0.005100117530673742	0.0014319643378257751	0.0	0.0003963202179875225	0.0	0.0007697329856455326	0.0	0.0005433745100162923	0.0009542775806039572	0.000724189099855721	0.0	0.0	0.0	0.0007147359428927302	0.0	0.00048506841994822025	0.0021636623423546553	0.0	0.0	0.001523850834928453	0.0	0.0	0.0013789405347779393	0.001112540252506733	0.0	0.0005334431771188974	0.0009439888526685536	0.00045348535059019923	0.0005079894326627254	0.0	0.0007865289226174355	0.0005194441764615476	0.000633057439699769	0.000930905865970999	0.0	0.0	0.0008654117118567228	0.0003486190689727664	0.0	0.0	0.0005614860565401614	0.0	0.0010081019718199968	0.001279328833334148	0.0014298197347670794	0.0	0.0007608390878885984	0.001131039229221642	0.0005915102665312588	0.0005614462425000966	0.0	0.00040084109059534967	0.0	0.00030897691613063216	0.0	0.0	0.002400127472355962	0.0015084844781085849	0.0008054705103859305	0.0005296681774780154	0.0	0.0005462621338665485	0.0	0.0008515624795109034	0.0018465716857463121	0.0	0.0005791932344436646	0.0	0.0	0.0014308671234175563	0.0	0.00192266923841089	0.0	0.0004377148870844394	0.0035680746659636497	0.0008339064661413431	0.0	0.0	0.0007061141659505665	0.0
foot	0.004965331871062517	0.0033654768485575914	0.0007327016210183501	0.004291802644729614	0.0	0.0018122452311217785	0.008307457901537418	0.003146144561469555	0.0007059648050926626	0.014436820521950722	0.0005027908482588828	0.002644673455506563	0.00045196758583188057	0.00046951777767390013	0.005582979414612055	0.0014626113697886467	0.0019663639832288027	0.0004395806463435292	0.0010036133462563157	0.0027595669962465763	0.003685761708766222	0.002542903646826744	0.0016571827000007033	0.005527277942746878	0.005392543040215969	0.005501205567270517	0.0022832194808870554	0.0029491267632693052	0.0018236441537737846	0.00475098192691803	0.0009007632033899426	0.004799108020961285	0.003481887513771653	0.002686099847778678	0.0012957464205101132	0.004821213893592358	0.0011912686750292778	0.0057923030108213425	0.001298277173191309	0.0015547580551356077	0.0005723237409256399	0.0029838529881089926	0.0051465583965182304	0.0018660133937373757	0.001150246593169868	0.0031702539417892694	0.0016159502556547523	0.0017839981010183692	0.0016916319727897644	0.0015676795737817883	0.002041363390162587	0.003269109409302473	0.0033098801504820585	0.0011213172692805529	0.001823920989409089	0.001644541509449482	0.0009282449027523398	0.004207277204841375	0.0006028530769981444	0.00203280639834702	0.0018419396365061402	0.006222103256732225	0.0010085224639624357	0.0015669645508751273	0.0005898037925362587	0.0004310062213335186	0.002828537952154875	0.002024970715865493	0.0036101541481912136	0.003295658156275749	0.0009185026865452528	0.0025260017719119787	0.01590557210147381	0.001866907812654972	0.011231202632188797	0.0004851877165492624	0.013334526680409908	0.0005220653838478029	0.002476339926943183	0.004658351186662912
crew	0.004650262650102377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019972478039562702	0.022347623482346535	0.0004661952261812985	0.0017304288921877742	0.0	0.0	0.0	0.0038614454679191113	0.0	0.0	0.0	0.0010720680002123117	0.0	0.0	0.0	0.0010128741851076484	0.0017698438605293632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005659918766468763	0.0	0.0	0.0011955488007515669	0.0	0.0007925820536911488	0.0	0.0	0.0	0.0	0.0	0.0	0.0016232646303251386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003606444224715233	0.0	0.0	0.0009095860295929015	0.0017230325611308217	0.0	0.0	0.0004676136595662683	0.000369794899597764	0.00041973867337219417	0.0	0.0	0.0	0.0	0.0	0.0005394426407292485	0.0	0.0005546241300180554	0.0	0.0	0.0	0.0	0.0	0.0015801475383341312	0.0	0.0008531528292223811
locomotive	0.0045501431450247765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005454901838675141	0.0	0.0	0.0	0.0	0.0	0.0	0.002376521471887827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
